timestamp, world_x, world_y, world_z
1774528497.293289, 7.144998, 0.624975, 0.064622
1774528497.326846, 7.161899, 0.533807, 0.069772
1774528497.360107, 7.164450, 0.446973, 0.070375
1774528497.393339, 7.172373, 0.352306, 0.081123
1774528497.426871, 7.186490, 0.274749, 0.104471
1774528497.460227, 7.181262, 0.191545, 0.104003
1774528497.493505, 7.177415, 0.099168, 0.110470
1774528497.526888, 7.193515, 0.013086, 0.142365
1774528497.559818, 7.178519, -0.063817, 0.155800
1774528497.593166, 7.171197, -0.145442, 0.147776
1774528497.626814, 7.162598, -0.240566, 0.161241
1774528497.659687, 7.158122, -0.326794, 0.181847
1774528497.693036, 7.159461, -0.415866, 0.199169
1774528497.726861, 7.165797, -0.504151, 0.218411
1774528497.759608, 7.169278, -0.585379, 0.241096
1774528497.792806, 7.173348, -0.669418, 0.272402
1774528497.826355, 7.144529, -0.766201, 0.277971
1774528497.859320, 7.151758, -0.839501, 0.299887
1774528497.892631, 7.158057, -0.916626, 0.342916
1774528497.925851, 7.150577, -0.997698, 0.377200
1774528497.959193, 7.145896, -1.077596, 0.407586
1774528497.992633, 7.106073, -1.158215, 0.414288
1774528498.025837, 7.091278, -1.247379, 0.437580
1774528498.059114, 7.052016, -1.330778, 0.453124
1774528498.092260, 7.052628, -1.419114, 0.491019
1774528498.125577, 7.050487, -1.493661, 0.519187
1774528498.159063, 7.040780, -1.571895, 0.553920
1774528498.192291, 7.030833, -1.658780, 0.565897
1774528498.225563, 6.994372, -1.741470, 0.595275
1774528498.258759, 6.966764, -1.825977, 0.617776
1774528498.292065, 6.948914, -1.898445, 0.658780
1774528498.325269, 6.913143, -1.982856, 0.699448
1774528498.358640, 6.891329, -2.053050, 0.737310
1774528498.391823, 6.859790, -2.124304, 0.769359
1774528498.425144, 6.824318, -2.206264, 0.801244
1774528498.458502, 6.798248, -2.277675, 0.850839
1774528498.491916, 6.756908, -2.355129, 0.898563
1774528498.525317, 6.709774, -2.427508, 0.928411
1774528498.558585, 6.681102, -2.497434, 0.972363
1774528498.591757, 6.657632, -2.564508, 1.002102
1774528498.625126, 6.619627, -2.625558, 1.044961
1774528498.658645, 6.581868, -2.684817, 1.071505
1774528498.691798, 6.537386, -2.759839, 1.132132
1774528498.724821, 6.506290, -2.835202, 1.188669
1774528498.758043, 6.459799, -2.889181, 1.231045
1774528498.791262, 6.442523, -2.954507, 1.284388
1774528498.824733, 6.406645, -3.016553, 1.342441
1774528498.858148, 6.341122, -3.090888, 1.378849
1774528498.891536, 6.307252, -3.146039, 1.423036
1774528498.924736, 6.270404, -3.204054, 1.476392
1774528498.958241, 6.217449, -3.274076, 1.500226
1774528498.991332, 6.182596, -3.331348, 1.546776
1774528499.024608, 6.140071, -3.381835, 1.588259
1774528499.058048, 6.105937, -3.451472, 1.642378
1774528499.091233, 6.074159, -3.506628, 1.700014
1774528499.124562, 6.024368, -3.565288, 1.755109
1774528499.157714, 5.973494, -3.620264, 1.817289
1774528499.190956, 5.921551, -3.673246, 1.860055
1774528499.224227, 5.877698, -3.730940, 1.924419
1774528499.257587, 5.825359, -3.783829, 1.969823
1774528499.290782, 5.790169, -3.833862, 2.041426
1774528499.324154, 5.740813, -3.895524, 2.095220
1774528499.357573, 5.682446, -3.947337, 2.133978
1774528499.390863, 5.646812, -3.985604, 2.200982
1774528499.424132, 5.586024, -4.028088, 2.245315
1774528499.457362, 5.535950, -4.068273, 2.292745
1774528499.490613, 5.493337, -4.113784, 2.370136
1774528499.523818, 5.445707, -4.154284, 2.420237
1774528499.557042, 5.389095, -4.192277, 2.464377
1774528499.590250, 5.339855, -4.233758, 2.522744
1774528499.623575, 5.274824, -4.274890, 2.586972
1774528499.657111, 5.222232, -4.303229, 2.639126
1774528499.690210, 5.162828, -4.328789, 2.713771
1774528499.723674, 5.116998, -4.357439, 2.764445
1774528499.757149, 5.067451, -4.384798, 2.831533
1774528499.790316, 5.015814, -4.408535, 2.896594
1774528499.823602, 4.948638, -4.436599, 2.943444
1774528499.856973, 4.876795, -4.464380, 2.998683
1774528499.890234, 4.824068, -4.489571, 3.056419
1774528499.923556, 4.766207, -4.511340, 3.108156
1774528499.956978, 4.707229, -4.534205, 3.158382
1774528499.989885, 4.648695, -4.545563, 3.224927
1774528500.023252, 4.588888, -4.569776, 3.287037
1774528500.056904, 4.523158, -4.589128, 3.343999
1774528500.089814, 4.464818, -4.606979, 3.410700
1774528500.123011, 4.419010, -4.626886, 3.492207
1774528500.156714, 4.364314, -4.638244, 3.563745
1774528500.189788, 4.297818, -4.659457, 3.600729
1774528500.223200, 4.224666, -4.679450, 3.642230
1774528500.256649, 4.147307, -4.693380, 3.696741
1774528500.289824, 4.085075, -4.702644, 3.760021
1774528500.323090, 4.018814, -4.701514, 3.806737
1774528500.356516, 3.952888, -4.706554, 3.850674
1774528500.389775, 3.898348, -4.705251, 3.895463
1774528500.423091, 3.811119, -4.711751, 3.956969
1774528500.456414, 3.749732, -4.715004, 4.026117
1774528500.489732, 3.692750, -4.716652, 4.090272
1774528500.522944, 3.624308, -4.705359, 4.155250
1774528500.556432, 3.562407, -4.713539, 4.212560
1774528500.589737, 3.513222, -4.697418, 4.265392
1774528500.622818, 3.458026, -4.690724, 4.320431
1774528500.656134, 3.394664, -4.669412, 4.377272
1774528500.689302, 3.333575, -4.663878, 4.445685
1774528500.722666, 3.266254, -4.642202, 4.498448
1774528500.755858, 3.196654, -4.625772, 4.547399
1774528500.789151, 3.131846, -4.620949, 4.603115
1774528500.822593, 3.070756, -4.604038, 4.635076
1774528500.855859, 3.023439, -4.582385, 4.702087
1774528500.889244, 2.949742, -4.571851, 4.745415
1774528500.922653, 2.874552, -4.562452, 4.808143
1774528500.955890, 2.823415, -4.547691, 4.863321
1774528500.989204, 2.771207, -4.526372, 4.940093
1774528501.022352, 2.687646, -4.506508, 4.998042
1774528501.055727, 2.622810, -4.473531, 5.063021
1774528501.088951, 2.557641, -4.451131, 5.133046
1774528501.122185, 2.501546, -4.415734, 5.186111
1774528501.155454, 2.421860, -4.389186, 5.243307
1774528501.188847, 2.362473, -4.364609, 5.294363
1774528501.222028, 2.303711, -4.343130, 5.354360
1774528501.255388, 2.261455, -4.306335, 5.405496
1774528501.288553, 2.209510, -4.274646, 5.455256
1774528501.322006, 2.169128, -4.237140, 5.507554
1774528501.355245, 2.107993, -4.196956, 5.550912
1774528501.388534, 2.051649, -4.158850, 5.604577
1774528501.421730, 1.976740, -4.124208, 5.648537
1774528501.455158, 1.925827, -4.088890, 5.691289
1774528501.488431, 1.854483, -4.047859, 5.738208
1774528501.521665, 1.797088, -4.003500, 5.780304
1774528501.555034, 1.747192, -3.962802, 5.833932
1774528501.588355, 1.697350, -3.921412, 5.867724
1774528501.621768, 1.628304, -3.868903, 5.903146
1774528501.654925, 1.569901, -3.821311, 5.957410
1774528501.688090, 1.525228, -3.768800, 5.999228
1774528501.721576, 1.466138, -3.716905, 6.037389
1774528501.754641, 1.411374, -3.664170, 6.082401
1774528501.787839, 1.361137, -3.612211, 6.122308
1774528501.820887, 1.312458, -3.560981, 6.156899
1774528501.854204, 1.271178, -3.500337, 6.223046
1774528501.887816, 1.219048, -3.450344, 6.259299
1774528501.921022, 1.162467, -3.396744, 6.292591
1774528501.954298, 1.108425, -3.340936, 6.330643
1774528501.987764, 1.042779, -3.283784, 6.369285
1774528502.020836, 0.972488, -3.217278, 6.393500
1774528502.053860, 0.940514, -3.165812, 6.434362
1774528502.087172, 0.898614, -3.107936, 6.477563
1774528502.120614, 0.845348, -3.051476, 6.503791
1774528502.153858, 0.800246, -2.982946, 6.547474
1774528502.187336, 0.748668, -2.923360, 6.580544
1774528502.220687, 0.701730, -2.860642, 6.606849
1774528502.253925, 0.664282, -2.790958, 6.650840
1774528502.287595, 0.623372, -2.723130, 6.670183
1774528502.320711, 0.573167, -2.654336, 6.707256
1774528502.353798, 0.540449, -2.582488, 6.744538
1774528502.387059, 0.514295, -2.511185, 6.772365
1774528502.420519, 0.460164, -2.444172, 6.789829
1774528502.453858, 0.420683, -2.377848, 6.823065
1774528502.487218, 0.366937, -2.302936, 6.837328
1774528502.520462, 0.330297, -2.232709, 6.869711
1774528502.553704, 0.306102, -2.168342, 6.925452
1774528502.586994, 0.254411, -2.094398, 6.945504
1774528502.620561, 0.229225, -2.002120, 6.957985
1774528502.653882, 0.201830, -1.919728, 6.975538
1774528502.686950, 0.149021, -1.847000, 7.003699
1774528502.720124, 0.111023, -1.770760, 7.013455
1774528502.753781, 0.089191, -1.696069, 7.043150
1774528502.787246, 0.059645, -1.622955, 7.044395
1774528502.820307, 0.034756, -1.546252, 7.068946
1774528502.853526, 0.008883, -1.469331, 7.087154
1774528502.886847, -0.013947, -1.391232, 7.092901
1774528502.920070, -0.029764, -1.306470, 7.097778
1774528502.953322, -0.052418, -1.221135, 7.107480
1774528502.986786, -0.071790, -1.138613, 7.111836
1774528503.020891, -0.104529, -1.065021, 7.124987
1774528503.054125, -0.115576, -0.974975, 7.142909
1774528503.087501, -0.159386, -0.900881, 7.153486
1774528503.120733, -0.170587, -0.822400, 7.179944
1774528503.153875, -0.182224, -0.732968, 7.182261
1774528503.187410, -0.191380, -0.660571, 7.171288
1774528503.220695, -0.197512, -0.567513, 7.180588
1774528503.253814, -0.212316, -0.479343, 7.186886
1774528503.287192, -0.237176, -0.391802, 7.191825
1774528503.320434, -0.257739, -0.312635, 7.201942
1774528503.353894, -0.261526, -0.220285, 7.197319
1774528503.387404, -0.275387, -0.134946, 7.201015
1774528503.420764, -0.290197, -0.048759, 7.208606
1774528503.453973, -0.304018, 0.041824, 7.206852
1774528503.487312, -0.320354, 0.131183, 7.204651
1774528503.520609, -0.322867, 0.211910, 7.204122
1774528503.553736, -0.360639, 0.302705, 7.191857
1774528503.587073, -0.355418, 0.393213, 7.189514
1774528503.620234, -0.369261, 0.474162, 7.176595
1774528503.653836, -0.372679, 0.557433, 7.156442
1774528503.687174, -0.370213, 0.634676, 7.154635
1774528503.720184, -0.376675, 0.727658, 7.158193
1774528503.753484, -0.379794, 0.815643, 7.143990
1774528503.786791, -0.402444, 0.898855, 7.132031
1774528503.819914, -0.406063, 0.975715, 7.103944
1774528503.853342, -0.410293, 1.063496, 7.088047
1774528503.886621, -0.398645, 1.150846, 7.094709
1774528503.919812, -0.414524, 1.235091, 7.066231
1774528503.953140, -0.398067, 1.325101, 7.050709
1774528503.986656, -0.394943, 1.410610, 7.025774
1774528504.019795, -0.400695, 1.497000, 7.001064
1774528504.052873, -0.385879, 1.574843, 6.988536
1774528504.086336, -0.373127, 1.661055, 6.974977
1774528504.119582, -0.359329, 1.751078, 6.961322
1774528504.152814, -0.358580, 1.828225, 6.947082
1774528504.185974, -0.345741, 1.901371, 6.918095
1774528504.219380, -0.319450, 1.989062, 6.900054
1774528504.252749, -0.308307, 2.069287, 6.873709
1774528504.285971, -0.292265, 2.152870, 6.827781
1774528504.319231, -0.283306, 2.239439, 6.814754
1774528504.352507, -0.265114, 2.317845, 6.789673
1774528504.385740, -0.257381, 2.396365, 6.756671
1774528504.418790, -0.250551, 2.480847, 6.723711
1774528504.452079, -0.232162, 2.555672, 6.697584
1774528504.485338, -0.199781, 2.631310, 6.695587
1774528504.518859, -0.176996, 2.706164, 6.658724
1774528504.552095, -0.173751, 2.789047, 6.621936
1774528504.585351, -0.139298, 2.871770, 6.592829
1774528504.618707, -0.092722, 2.948619, 6.557615
1774528504.652735, -0.071517, 3.017174, 6.517987
1774528504.685763, -0.036835, 3.096852, 6.493068
1774528504.718801, -0.011163, 3.170752, 6.456327
1774528504.752652, 0.014451, 3.244027, 6.402958
1774528504.785563, 0.044001, 3.314046, 6.380092
1774528504.818788, 0.079849, 3.379724, 6.329873
1774528504.851773, 0.087035, 3.452322, 6.272500
1774528504.884773, 0.112976, 3.516957, 6.235365
1774528504.918226, 0.142811, 3.585705, 6.192997
1774528504.951616, 0.174065, 3.653931, 6.159355
1774528504.984761, 0.218965, 3.729665, 6.133353
1774528505.018087, 0.237058, 3.800728, 6.080577
1774528505.051372, 0.283173, 3.855709, 6.042717
1774528505.084692, 0.328724, 3.916875, 6.000378
1774528505.117823, 0.357281, 3.984160, 5.950968
1774528505.151199, 0.409760, 4.052319, 5.912134
1774528505.184608, 0.446897, 4.114190, 5.861041
1774528505.217811, 0.478000, 4.170749, 5.812755
1774528505.250828, 0.522787, 4.231664, 5.770403
1774528505.284305, 0.582119, 4.287020, 5.719649
1774528505.317632, 0.613588, 4.334631, 5.679278
1774528505.350779, 0.660329, 4.390628, 5.639999
1774528505.383949, 0.706714, 4.439756, 5.585231
1774528505.417506, 0.761851, 4.488561, 5.546878
1774528505.450823, 0.808350, 4.549505, 5.507568
1774528505.483877, 0.856175, 4.606238, 5.469305
1774528505.517556, 0.913751, 4.666363, 5.421932
1774528505.550613, 0.972193, 4.728043, 5.362584
1774528505.583880, 1.031286, 4.777209, 5.298631
1774528505.617228, 1.091176, 4.839746, 5.258835
1774528505.650433, 1.134226, 4.875349, 5.194229
1774528505.683570, 1.192051, 4.919261, 5.143490
1774528505.716907, 1.226958, 4.956143, 5.064065
1774528505.750228, 1.284060, 5.012218, 5.011035
1774528505.783389, 1.345059, 5.048027, 4.957497
1774528505.816946, 1.387831, 5.084270, 4.909447
1774528505.849922, 1.438691, 5.116507, 4.862075
1774528505.883118, 1.492725, 5.149600, 4.798169
1774528505.916710, 1.565830, 5.181991, 4.745872
1774528505.949802, 1.624479, 5.216747, 4.683595
1774528505.982948, 1.668915, 5.243556, 4.629744
1774528506.016586, 1.735130, 5.275628, 4.571242
1774528506.049771, 1.759913, 5.305689, 4.479221
1774528506.083089, 1.816973, 5.322806, 4.419831
1774528506.116585, 1.859188, 5.349121, 4.367164
1774528506.149646, 1.914244, 5.377456, 4.301766
1774528506.182798, 1.992781, 5.400135, 4.267410
1774528506.216339, 2.053514, 5.421278, 4.205985
1774528506.249595, 2.102891, 5.434843, 4.137509
1774528506.282769, 2.140830, 5.455535, 4.061355
1774528506.315835, 2.208653, 5.479060, 4.012751
1774528506.349340, 2.276760, 5.498592, 3.968774
1774528506.382719, 2.350946, 5.511358, 3.924941
1774528506.415768, 2.419660, 5.523914, 3.878481
1774528506.449112, 2.473425, 5.541708, 3.809832
1774528506.482353, 2.534444, 5.551760, 3.751623
1774528506.515800, 2.599447, 5.557025, 3.690357
1774528506.548874, 2.654779, 5.574946, 3.634549
1774528506.581946, 2.710876, 5.580897, 3.578255
1774528506.615276, 2.781851, 5.591072, 3.532767
1774528506.648754, 2.870201, 5.602085, 3.485778
1774528506.681865, 2.933521, 5.604367, 3.424543
1774528506.715249, 3.004441, 5.600619, 3.368160
1774528506.748634, 3.072075, 5.587798, 3.302755
1774528506.781920, 3.132111, 5.582992, 3.260682
1774528506.815203, 3.184449, 5.579081, 3.187429
1774528506.848556, 3.237398, 5.574619, 3.131233
1774528506.881755, 3.314220, 5.568424, 3.074157
1774528506.914759, 3.381581, 5.560104, 3.032923
1774528506.948005, 3.442803, 5.559646, 2.985337
1774528506.981419, 3.513369, 5.558566, 2.940193
1774528507.014785, 3.571615, 5.555899, 2.884908
1774528507.047842, 3.634973, 5.547027, 2.815787
1774528507.081098, 3.687168, 5.540053, 2.744057
1774528507.114500, 3.762643, 5.530629, 2.660029
1774528507.147879, 3.833149, 5.509467, 2.605347
1774528507.181243, 3.895173, 5.492507, 2.549987
1774528507.214626, 3.965341, 5.464145, 2.497632
1774528507.247808, 4.036871, 5.450972, 2.447314
